Folder,File,FileVersion,ProductVersion,Hash,BaseFolder
,eBetConfig.exe,4.3.3.0,4.3.3.0,6183404C639C56A63E4DA7F04BEFF9D2D7455C3D,C:\Program Files (x86)\eBet Gaming Systems\Pay
,Pay.exe,4.3.72.13,0.0,2D1EBACB15D8F4F4754FDEA467880686C627,C:\Program Files (x86)\eBet Gaming Systems\Pay
,unins000.exe,51.52.0.0,0.0,558EFBC3F038C832ABF8D3708CF6A4A585DE07,C:\Program Files (x86)\eBet Gaming Systems\Pay
,Dapper.dll,1.50.2.0,1.50.2,DB14C6F839207145709A59D22F4094FE626D3DB,C:\Program Files (x86)\eBet Gaming Systems\Pay
,Ebet.BusinessObjects.AttributeItems.dll,4.3.5.0,4.3.5.0,52BFCB4722F06F4DE78981AF3E47878FD3C678,C:\Program Files (x86)\eBet Gaming Systems\Pay
,Ebet.BusinessObjects.Club.dll,4.3.6.0,4.3.6.0,49306563ED377029B38511D345EAC54333A9F4C4,C:\Program Files (x86)\eBet Gaming Systems\Pay
,Ebet.BusinessObjects.dll,4.3.5.0,4.3.5.0,4DE27DA73CBBBAE5E99B45F33021B079E5E065E8,C:\Program Files (x86)\eBet Gaming Systems\Pay
,Ebet.BusinessObjects.Gaming.dll,4.3.6.1,4.3.6.1,97EE3A3A9DCCA27D6F98F98AFA5A5981A98318A,C:\Program Files (x86)\eBet Gaming Systems\Pay
,Ebet.BusinessObjects.Membership.dll,4.3.6.0,4.3.6.0,508EC284AFD4A672218B94DA4416C41C4A81A,C:\Program Files (x86)\eBet Gaming Systems\Pay
,Ebet.BusinessObjects.Online.dll,4.3.14.8,4.3.14.8,D660B92EEA661C63CB1281BF7E35BA4F6D92255D,C:\Program Files (x86)\eBet Gaming Systems\Pay
,Ebet.BusinessObjects.Vault.dll,4.1.1.1,4.1.1.1,1926F9B7634DEB3F48AF43112212EF335B788F,C:\Program Files (x86)\eBet Gaming Systems\Pay
,Ebet.CashOut.dll,1.50.0.1,1.50.0.1,7B39465D20EE9C44C7BCB2C48654803D7847468C,C:\Program Files (x86)\eBet Gaming Systems\Pay
,Ebet.Common.dll,4.3.5.0,4.3.5.0,9972461515BAED2115C6E8E58CBF4668F1D1F,C:\Program Files (x86)\eBet Gaming Systems\Pay
,Ebet.DataAccess.Common.dll,4.3.6.1,4.3.6.1,B3E3D26276D7893EA965E73425CF2EDB4CF4BFC,C:\Program Files (x86)\eBet Gaming Systems\Pay
,Ebet.DataAccess.DataBroker.dll,4.3.5.0,4.3.5.0,82DCF87F6FA33C2D8826616F08D7BC97CB19CD,C:\Program Files (x86)\eBet Gaming Systems\Pay
,Ebet.DataAccess.DataClasses.dll,4.3.5.0,4.3.5.0,108D1EFE8C4162C0EA89866E4C786F4C35366EC,C:\Program Files (x86)\eBet Gaming Systems\Pay
,Ebet.DataAccess.DataClasses.Sql.Club.dll,4.3.6.0,4.3.6.0,4B6542DF44A4B9E0925471A7EDA1F0468D117B1,C:\Program Files (x86)\eBet Gaming Systems\Pay
,Ebet.DataAccess.DataClasses.Sql.dll,4.3.5.0,4.3.5.0,902AEC69667513199494A115B4286269E57B93,C:\Program Files (x86)\eBet Gaming Systems\Pay
,Ebet.DataAccess.DataClasses.Sql.Gaming.dll,4.3.5.0,4.3.5.0,BF7553E3F89FD13E64812C79B569D49DBCC7A,C:\Program Files (x86)\eBet Gaming Systems\Pay
,Ebet.DataAccess.DataClasses.Sql.Membership.dll,4.3.7.0,4.3.7.0,F237B50565885376D82273B0253AF23577CF32,C:\Program Files (x86)\eBet Gaming Systems\Pay
,Ebet.DataAccess.DataClasses.Sql.Online.dll,4.3.16.7,4.3.16.7,9EC526B12AA89663DE896A748E63A0C8621AB5DC,C:\Program Files (x86)\eBet Gaming Systems\Pay
,Ebet.DataAccess.DataClasses.Sql.Vault.dll,4.1.1.1,4.1.1.1,CF6D2595AE15F73CA3D43717885E167CB2D66,C:\Program Files (x86)\eBet Gaming Systems\Pay
,Ebet.DataAccess.dll,4.3.5.0,4.3.5.0,D855B364F6E3AE16BA4E5B5F7205D3BA7C4A268,C:\Program Files (x86)\eBet Gaming Systems\Pay
,Ebet.DataAccess.Providers.dll,4.3.5.0,4.3.5.0,873802042B83F73DDCEB5D86B4D2DF4BFF29AA,C:\Program Files (x86)\eBet Gaming Systems\Pay
,Ebet.DataAccess.Providers.Sql.dll,4.3.5.0,4.3.5.0,24F2B198D6DB0F4C75341C234A69AED53DAB5,C:\Program Files (x86)\eBet Gaming Systems\Pay
,Ebet.PubPayNoteDispense.dll,1.50.0.3,1.50.0.3,5E55C8A235F53A886583F8BF55361EFCAB610F3,C:\Program Files (x86)\eBet Gaming Systems\Pay
,Ebet.SprintQNoteDispense.dll,1.50.0.1,1.50.0.1,76A18883AE31D14A9956A09E375EF4C9D7F62,C:\Program Files (x86)\eBet Gaming Systems\Pay
,EPSCOM.dll,1.50.0.9,1.50.0.9,6E3E3A6581CE5B4762D7323676BD8F9E4F2F4,C:\Program Files (x86)\eBet Gaming Systems\Pay
,EPSLicense.dll,1.0.0.1,1.0.0.1,A4C3317C72FF481A2E716EFD20B5ED7187EC57A2,C:\Program Files (x86)\eBet Gaming Systems\Pay
,EPSVTMLib.dll,1.50.0.7,1.50.0.7,50C0FEF44A9A261471819611D81EFAAA8A7F02F,C:\Program Files (x86)\eBet Gaming Systems\Pay
,EPS_VTAdapter.dll,1.0.0.0,1.0.0.0,B58E694C5C94202872E9538FC271603565B5467,C:\Program Files (x86)\eBet Gaming Systems\Pay
,FlexiNet.Common.dll,1.0.0.12,1.0.0.12,EFC026D5BDA3A14CB499E14423A1E05996CCAE90,C:\Program Files (x86)\eBet Gaming Systems\Pay
,FlexiNet.Constant.dll,1.0.0.0,1.0.0.0,AD4932B524E55C7AEA33FAA17A705974354CF8,C:\Program Files (x86)\eBet Gaming Systems\Pay
